id,pname,gender,fname,canonical_fname,oname,born_on_year,begin_on_year,begin_on_month,begin_on_day,end_on_year,end_on_month,end_on_day,nationality
2,Dr. Carl Gustav Jung,0,Member of a Honorary Committee,Member of a Committee,International Institute of Psychagogy and Psychotherapy,1875,1929,,,,,,
4,Dr.  Alfred Adler,0,Member of a Honorary Committee,Member of a Committee,International Institute of Psychagogy and Psychotherapy,1870,1929,,,,,,
11,Prof. Giuseppe Peano,0,President,President,,1858,1921,,,1936,,,Italian
12,G.  Canesi,-1,Treasurer,Treasurer,,,1921,,,1936,,,
12,G.  Canesi,-1,Director,Director,,,1936,,,,,,
13,Jonkheer Dr. Abraham Pieter Cornelis  van Karnebeek,0,President,President,Academy of International Law,1836,1921,,,1929,,,Dutch
13,Jonkheer Dr. Abraham Pieter Cornelis  van Karnebeek,0,Member of a Committee,Member of a Committee,,1836,1921,,,1929,,,Dutch
13,Jonkheer Dr. Abraham Pieter Cornelis  van Karnebeek,0,President,President,International Intermediary Institute,1836,1921,,,1923,,,Dutch
13,Jonkheer Dr. Abraham Pieter Cornelis  van Karnebeek,0,President,President,,1836,1923,,,1925,,,Dutch
13,Jonkheer Dr. Abraham Pieter Cornelis  van Karnebeek,0,Honorary President,President,International Intermediary Institute,1836,1923,,,1929,,,Dutch
13,Jonkheer Dr. Abraham Pieter Cornelis  van Karnebeek,0,First Vice-President,Vice President,International Colonial Institute,1836,1925,,,1929,,,Dutch
14,Prof. Charles Lyon-Caen,0,President,President,Academy of International Law,1843,1921,,,1936,,,French
14,Prof. Charles Lyon-Caen,0,President,President,International Academy of Comparative Law,1843,1925,,,1938,,,French
15,Baron Prof. Albéric Rolin,0,General Secretary,Secretary General,Academy of International Law,1843,1921,,,1938,,,
15,Baron Prof. Albéric Rolin,0,Secretary General,Secretary General,Institute of International Law,1843,1921,,,1923,,,
15,Baron Prof. Albéric Rolin,0,Honorary Chairman,President,Institute of International Law,1843,1923,,,1929,,,
16,Boddaert,-1,Treasurer,Treasurer,Academy of International Law,,1921,,,1925,,,
